Source,Target,Weight_n1,Weight_n2, Weight
5127933,44283910,323.17957746478874,0.24845364452637533,91783
38816004,16390062,765.7310924369748,0.3292051128275902,91122
2946171,30441767,131.75075528700907,0.386097326681393,87219
8670015,3624734,415.9950738916256,0.507183096899737,84447
1472457,321575,179.82905982905982,0.29702306375619825,84160
14862237,44283910,330.202479338843,0.19363945438111416,79909
39629376,11319931,283.0935251798561,0.49234580567667835,78700
39629376,6534442,282.294964028777,0.4909569776098394,78478
44515085,22275019,1153.0,0.9639746437395493,77251
46391215,23965423,2389.75,0.9185605150627012,76472
10567170,5682723,431.9122807017544,0.9746110502632586,73857
32081041,56519236,257.4590747330961,0.734462244421433,72346
3173216,4964590,115.37699680511182,0.48189218041099546,72226
3173216,13969821,112.52555910543131,0.4699826527888978,70441
9279008,6534442,763.2747252747253,0.049066605631872595,69458
