Source,Target,Weight_n,Weight
9095790,16338953,213.8653846153846,11121
35496209,15043282,264.73809523809524,11119
35496209,15747402,264.73809523809524,11119
35496209,23452313,264.73809523809524,11119
35496209,27071148,264.73809523809524,11119
35496209,28269440,264.73809523809524,11119
35496209,42063672,264.73809523809524,11119
35496209,37617380,264.7142857142857,11118
35496209,36550,264.6666666666667,11116
63990238,11319931,102.35185185185185,11054
32263503,22736401,275.275,11011
63990238,6534442,101.92592592592592,11008
63990238,42918145,101.92592592592592,11008
63990238,64737503,101.92592592592592,11008
29499890,23131842,166.03030303030303,10958
7978583,4728396,36.19867549668874,10932
22251262,4772142,18.756944444444443,10804
22251262,2700969,18.321180555555557,10553
19253444,36550,50.75728155339806,10456
23636021,27054370,181.52631578947367,10347
22251262,11183318,17.791666666666668,10248
22251262,13754843,17.744791666666668,10221
22251262,54723372,17.73263888888889,10214
36714018,56306656,65.02547770700637,10209
23398545,26284830,290.57142857142856,10170
23398545,12623153,290.3142857142857,10161
29618048,33122899,174.58620689655172,10126
26832194,3173216,170.35593220338984,10051
29618048,41557795,171.56896551724137,9951
36714018,31853150,63.31210191082803,9940
29618048,37972414,170.94827586206895,9915
29618048,23978678,170.89655172413794,9912
29618048,27094367,170.82758620689654,9908
36714018,13566264,63.01910828025478,9894
39955277,29618048,281.8857142857143,9866
51217011,40752074,52.67379679144385,9850
35090724,32111894,174.32142857142858,9762
15747402,36550,189.68627450980392,9674
15747402,15043282,189.68627450980392,9674
15747402,21297172,189.68627450980392,9674
15747402,23452313,189.68627450980392,9674
15747402,27071148,189.68627450980392,9674
15747402,35496209,189.68627450980392,9674
15747402,37617380,189.68627450980392,9674
15747402,42063672,189.68627450980392,9674
15043282,23452313,134.56338028169014,9554
15043282,15747402,134.5211267605634,9551
15043282,21297172,134.50704225352112,9550
15043282,27071148,134.50704225352112,9550
15043282,35496209,134.50704225352112,9550
15043282,37617380,134.50704225352112,9550
15043282,42063672,134.50704225352112,9550
15043282,36550,134.49295774647888,9549
25455727,40384840,225.88095238095238,9487
25455727,12482979,225.73809523809524,9481
25455727,14464095,225.73809523809524,9481
25455727,41701044,225.73809523809524,9481
25455727,49205232,225.73809523809524,9481
40752074,58894193,63.42953020134228,9451
11081259,18019789,75.336,9417
51805246,33418096,1550.0,9300
17839641,540523,11.04721549636804,9125
1148299,13123985,217.23809523809524,9124
14954910,33122906,313.62068965517244,9095
14954910,13854791,313.51724137931035,9092
14954910,14776376,313.51724137931035,9092
14954910,17372706,313.51724137931035,9092
14954910,22505468,313.51724137931035,9092
14954910,26856883,313.51724137931035,9092
26372299,1833543,38.94827586206897,9036
520444,22251262,13.98297213622291,9033
69578412,42892734,409.1818181818182,9002
22251262,13969821,15.604166666666666,8988
30640737,7367446,53.8855421686747,8945
35705552,12092284,5.343543543543544,8897
14464095,40384840,233.52631578947367,8874
14464095,41701044,233.05263157894737,8856
48186668,57208827,266.5151515151515,8795
48186668,57206098,266.27272727272725,8787
14237598,38816004,337.38461538461536,8772
35705552,38287903,5.266066066066066,8768
35090724,37869921,154.67857142857142,8662
24709613,17238796,957.6666666666666,8619
13948875,7013659,73.41880341880342,8590
57206098,57208827,535.1875,8563
57206098,48186668,534.3125,8549
39955277,33122899,242.34285714285716,8482
26253264,26253200,107.15189873417721,8465
18934080,33065600,92.56043956043956,8423
18934080,53499076,92.48351648351648,8416
16191901,11319931,60.52517985611511,8413
18934080,29413873,92.45054945054945,8413
18934080,52045574,92.45054945054945,8413
39955277,41557795,238.22857142857143,8338
39069465,28481702,69.0,8280
39955277,37972414,236.42857142857142,8275
39955277,23978678,236.25714285714287,8269
39955277,27094367,236.25714285714287,8269
17839641,3173216,9.998789346246973,8259
